malK	malT	malZ	malP	lamB	malQ	malM	malF	malG	malE	malS	dgsA	ynfK	ptsI	crr	fruR	ptsH	manY	manX	manZ	nagC	pfkA	glk	yahA	fruB	pck	fruK	pykF	ppsA	glmU	fruA	eno	glmS	nagE	aroP	gapA	icd	epd	nagB	nagD	pgk	edd	fbaA	chbB	chbR	crp	chbF	chbA	chbG	chbC	nanM	nanC	nagA	mtlD	mtlR	mtlA	acnA	galP	acnB	ptsG	aceK	aceB	iclR	aceA	nanR	nanK	yhcH	nanT	nanA	nanE	fimB	nirB	nirD	nirC	cysG	galS	mglB	galR	galT	mglC	galM	galK	hupB	galE	hupA	mglA	seqA	pgm	tyrP	mtr	tyrR	aroF	mpl	glgC	cyaR	glgS	ilvN	glgP	glpE	ilvB
0.0158385	0.0103249	0.0229073	0.0942336	0.0409132	0.0445078	0.0112493	0.0051684	0.1681765	0.0037069	0.0406544	0.1168912	0.4423954	0.3223238	0.4301935	0.0000000	0.5046559	0.7616334	0.1659552	0.4146115	0.0328366	0.7041836	0.7210662	0.6481572	0.7281390	0.0318839	0.7762283	0.7219686	0.0301590	0.5862882	0.6261686	0.8108208	0.6975104	0.8422027	0.0658802	0.2747859	0.0693026	0.2473182	0.8352365	0.4481321	0.3401437	0.8313207	0.6063507	0.0394756	0.0202652	0.0000000	0.3717980	0.3788091	0.4136926	0.3493596	0.6828568	0.7907486	0.7196007	0.6901495	0.4329349	0.5223535	0.0003649	0.6883192	0.4194664	0.3738632	0.0003423	0.6394441	0.6775941	0.3833370	0.6787912	0.0460016	0.1803755	0.0589127	0.0010697	0.2871577	0.4997395	0.7070927	0.7673596	0.6695687	0.6469984	0.0367529	0.2662721	0.7471034	0.3708941	0.6420918	0.6729226	0.1729158	0.0040278	0.7583338	0.0063284	0.6659812	0.7755854	0.6439263	0.7741265	0.6396939	0.6838220	0.1048672	0.0591922	0.0051316	0.0256493	0.0004761	0.0930576	0.0238121	0.0387750	0.0763714
0.0042935	0.0122116	0.0437125	0.1038466	0.0539845	0.0197623	0.0119413	0.0155701	0.1638697	0.0094385	0.0538973	0.0450156	0.3723887	0.2773015	0.2976768	0.7301452	0.5878074	0.7381385	0.2070770	0.0565392	0.0000000	0.2527077	0.1260504	0.0566638	0.0379200	0.5332270	0.2360178	0.3385420	0.6794862	0.6719269	0.4021015	0.1217396	0.6129699	0.5924332	0.4475945	0.0001942	0.6425517	0.0062027	0.7048846	0.4645406	0.0010661	0.1093668	0.0195868	0.0326114	0.0410555	0.0000000	0.3621799	0.3605335	0.3451228	0.2702814	0.7075066	0.7676367	0.6449447	0.6468396	0.2001522	0.2449599	0.0006854	0.7733121	0.0251567	0.2748889	0.4152687	0.6845732	0.7765736	0.4519352	0.5965701	0.0421145	0.1545634	0.0507644	0.0012380	0.2669013	0.3150870	0.1820834	0.6672949	0.1335181	0.2993833	0.0267438	0.2842970	0.6817718	0.4507115	0.6269190	0.6615841	0.1314949	0.0088057	0.7290008	0.0241636	0.7710670	0.7887936	0.6849738	0.7579256	0.7574929	0.7025473	0.1198558	0.0253537	0.0170187	0.0079041	0.0005775	0.0872941	0.0822629	0.0467659	0.0799460
0.0063471	0.0048675	0.0456919	0.0687610	0.0843060	0.0139825	0.0090399	0.0015941	0.1624607	0.0082556	0.0390378	0.0000000	0.2989386	0.3622276	0.3358099	0.7429772	0.6479236	0.6008900	0.2763357	0.0478600	0.0383995	0.2518589	0.1407607	0.0552618	0.0661945	0.5170541	0.2813730	0.2958395	0.6011926	0.6112178	0.4380338	0.1980028	0.7205429	0.6800969	0.3715118	0.0002575	0.6569471	0.0219226	0.7375045	0.3603209	0.0050912	0.1482132	0.0205240	0.0442189	0.0707375	0.0000000	0.3993963	0.3347461	0.3515750	0.2538196	0.7867963	0.7004010	0.6603519	0.5727079	0.2264336	0.2141176	0.0000662	0.5904385	0.0372512	0.3936121	0.5404802	0.6904013	0.7523719	0.3470264	0.7349223	0.0664736	0.2011233	0.0351925	0.0011947	0.2293052	0.5333264	0.2539527	0.7885293	0.1617589	0.3620430	0.0263468	0.2689129	0.6136416	0.3987935	0.7633022	0.7259423	0.1362390	0.0190173	0.7286553	0.0052545	0.6479044	0.6115009	0.7973150	0.6871423	0.6743831	0.6032168	0.1113815	0.0625512	0.0054201	0.0137469	0.0003686	0.0692738	0.0641615	0.0978019	0.1071585
0.0186525	0.0199615	0.0147459	0.0598016	0.0320674	0.0393532	0.0027163	0.0141747	0.1266476	0.0218512	0.0500100	0.0541530	0.2893472	0.3004262	0.3916199	0.7013770	0.5354792	0.8609514	0.1149809	0.0351464	0.0695571	0.1353886	0.1714979	0.0261686	0.0501223	0.4201934	0.2140136	0.2713787	0.6709592	0.5933027	0.4044723	0.1733431	0.7115077	0.6637678	0.4165114	0.0003678	0.5622658	0.0080220	0.6040655	0.4483343	0.0034963	0.1735052	0.0091292	0.0323492	0.0363145	0.0000000	0.4018441	0.3451257	0.4649745	0.2836998	0.7006406	0.7573127	0.6282943	0.6822436	0.1984693	0.1717740	0.0020489	0.6481152	0.0108564	0.3701468	0.4414390	0.7885306	0.7810279	0.3799295	0.7264184	0.0717967	0.2226930	0.0671470	0.0002819	0.2202083	0.5889347	0.3016486	0.7652703	0.1222745	0.3102188	0.0211974	0.7630434	0.0000000	0.4081351	0.9215245	0.7321929	0.3562492	0.0009699	0.7881149	0.0082088	0.6049141	0.7425269	0.7588177	0.6097416	0.8965960	0.7757764	0.1382425	0.0492714	0.0021212	0.0112713	0.0010213	0.0695472	0.0311993	0.0366843	0.0488571
0.0268083	0.0368652	0.0550351	0.1120782	0.0156769	0.0285894	0.0063042	0.0078313	0.1073893	0.0070109	0.0818035	0.0505711	0.3298078	0.3268699	0.3323902	0.6980302	0.6750795	0.7953875	0.1153328	0.0108928	0.0593853	0.1728677	0.1488273	0.0146031	0.0482195	0.4280318	0.1494772	0.2764089	0.8070579	0.6965884	0.4412673	0.1529464	0.6283743	0.7090343	0.4989994	0.0013668	0.6485574	0.0044116	0.7310435	0.4206861	0.0010068	0.1320180	0.0341908	0.0717334	0.0527649	0.0000000	0.4467057	0.3399585	0.3412247	0.2623033	0.7222107	0.6914417	0.7153693	0.5320264	0.2283359	0.2542741	0.0003459	0.7791507	0.0158367	0.3134178	0.5226800	0.8670364	0.6962996	0.4129285	0.6223008	0.0641819	0.1572154	0.1147538	0.0008471	0.3228349	0.5320943	0.2530568	0.7332008	0.1183262	0.3049964	0.0000000	0.3288585	0.6194808	0.4822795	0.7202163	0.7644928	0.1300414	0.0077373	0.7055201	0.0043958	0.6595290	0.7464913	0.7426208	0.7700025	0.7079677	0.6646435	0.1560334	0.0536726	0.0123191	0.0343137	0.0007708	0.0885852	0.0509451	0.0431811	0.0616633
0.5753610	0.6297972	0.3221304	0.6940282	0.4278719	0.4560483	0.3318412	0.6541213	0.6142200	0.4400075	0.5292295	0.3921403	0.3479232	0.1037678	0.6309247	0.7359277	0.4038878	0.7753035	0.0798256	0.2241063	0.4550965	0.1311588	0.1164871	0.0827866	0.0512720	0.5060707	0.1944778	0.2831803	0.7039102	0.0307148	0.3945003	0.1172759	0.2444071	0.5355515	0.4992297	0.2021351	0.6335192	0.1743883	0.0574439	0.4309733	0.3448686	0.1044176	0.5320222	0.0462118	0.0585686	0.7627064	0.7040399	0.6663017	0.6422566	0.2831199	0.6961480	0.5504689	0.0830388	0.5019859	0.3761961	0.1723805	0.7542929	0.6780597	0.4397868	0.2338879	0.1570872	0.7052210	0.6446278	0.2792145	0.7288452	0.2031514	0.7405072	0.2673600	0.1645533	0.7375546	0.5908439	0.0476574	0.0920595	0.0425692	0.0451108	0.0000000	0.8610647	0.0000000	0.3752352	0.6351669	0.4127094	0.2622075	0.4584317	0.6717861	0.6596743	0.8257255	0.0333125	0.0001773	0.0365708	0.5081092	0.7189922	0.1137329	0.5807028	0.5494486	0.5710017	0.7122354	0.4654195	0.3612349	0.7084401	0.6026981
0.5887480	0.5088807	0.2425639	0.7192887	0.3632454	0.4353336	0.2327754	0.7916911	0.6585930	0.5082793	0.5459156	0.4740540	0.4313101	0.1007420	0.4780604	0.7964806	0.3227013	0.7504028	0.0889303	0.1655286	0.4290430	0.2004810	0.1306507	0.0312632	0.0668213	0.4779932	0.1856699	0.2880610	0.6355708	0.0398830	0.3881630	0.1273874	0.2448691	0.4677802	0.4344645	0.2426000	0.8511931	0.1365410	0.0204813	0.6080346	0.2451189	0.1308014	0.4751962	0.0355836	0.0515365	0.6856409	0.7672141	0.6498316	0.7143451	0.4174336	0.6719949	0.5974127	0.1336634	0.6338122	0.5150299	0.1798270	0.6731192	0.7451590	0.4286224	0.2024173	0.1422143	0.6700759	0.7237225	0.3125364	0.7026042	0.1977180	0.6106195	0.3542702	0.1400004	0.6177398	0.5151551	0.0455392	0.1584777	0.0731404	0.0472316	0.0365261	0.5689883	0.5574410	0.4047636	0.7347340	0.7185596	0.5188030	0.0000000	0.5717091	0.0000000	0.7024960	0.7303853	0.7321434	0.6424639	0.6912069	0.6493404	0.1295356	0.7420539	0.6149585	0.6672776	0.5705289	0.4665462	0.4126693	0.8400539	0.6359526
0.0073166	0.0000000	0.0219294	0.0613614	0.0333550	0.0128625	0.0122127	0.0070377	0.0869633	0.0086433	0.0529039	0.0622400	0.3318222	0.3564451	0.3555103	0.6796816	0.6622358	0.6897013	0.1453885	0.0297448	0.0730850	0.1852460	0.1261993	0.0421450	0.0508242	0.5031546	0.3208529	0.2500936	0.5709366	0.7806808	0.3952654	0.2581123	0.6292064	0.8407760	0.3239332	0.0106147	0.6307922	0.0185573	0.7223333	0.4003689	0.0007360	0.1232700	0.0440406	0.0337195	0.0453822	0.0000000	0.3477354	0.4414824	0.3826955	0.3173522	0.7717339	0.6884701	0.6168983	0.5709944	0.2309035	0.2252391	0.0002453	0.6861391	0.0540643	0.3855903	0.3808826	0.6107626	0.6324723	0.3670716	0.7821209	0.0506114	0.1948811	0.0482392	0.0054805	0.3578543	0.4890939	0.2718120	0.6684735	0.1885657	0.2457750	0.0209348	0.2577862	0.6506178	0.4700154	0.6679847	0.5922394	0.1342201	0.0014926	0.5985676	0.0207054	0.6652504	0.6852115	0.6519308	0.7658098	0.6927736	0.7062400	0.1196177	0.1354723	0.0009117	0.0212208	0.0000510	0.0565646	0.0778158	0.0796268	0.0782221
0.0050756	0.0194482	0.0237638	0.1374857	0.0363109	0.0181713	0.0153379	0.0279825	0.1793260	0.0101801	0.0762092	0.0549445	0.4245896	0.4051134	0.3151345	0.7160514	0.5618556	0.5530032	0.0906806	0.0409817	0.0340260	0.2435546	0.1291453	0.0717576	0.0710964	0.5239575	0.2587395	0.3309378	0.7338169	0.6390337	0.3612200	0.2330014	0.6298656	0.6539079	0.4282359	0.0034181	0.7569506	0.0122345	0.6941348	0.4893853	0.0096067	0.0978403	0.0174090	0.0594326	0.0388999	0.0000000	0.3322703	0.4406033	0.3728172	0.2604050	0.7748163	0.6216729	0.8754179	0.5910419	0.2803623	0.2171983	0.0005555	0.7658194	0.0124652	0.2863820	0.4060324	0.8364813	0.6708124	0.4582684	0.0000000	0.0824989	0.6723928	0.3891424	0.2814137	0.7493912	0.4324236	0.2825612	0.7369142	0.1270055	0.2570689	0.0376337	0.3545017	0.7717632	0.2984982	0.7646182	0.7292271	0.1487023	0.0037031	0.7347300	0.0121929	0.6469848	0.6716005	0.6873362	0.6825581	0.8111273	0.6576656	0.1809280	0.0545978	0.0167445	0.0172268	0.0006704	0.0502653	0.0622396	0.0379528	0.1056710
0.6282379	0.9084969	0.3494381	0.7471952	0.4119397	0.5253384	0.4025801	0.6279655	0.6196484	0.4656991	0.6138971	0.0000000	0.6240829	0.6774564	0.8139994	0.0000000	0.2021693	0.8241634	0.7226611	0.7411462	0.4811349	0.5481265	0.7054046	0.8129571	0.6565464	0.0348463	0.8179069	0.7319213	0.0627271	0.0622067	0.6535983	0.6383509	0.2834895	0.6995339	0.0488976	0.4787033	0.1019427	0.6978277	0.0673575	0.5859642	0.7340015	0.7510336	0.7342099	0.0338706	0.0296749	0.7800644	0.7360278	0.6246250	0.7506032	0.3026463	0.6555581	0.5781184	0.1433957	0.6057923	0.6033013	0.6775520	0.0018358	0.6001589	0.6245718	0.5623834	0.0009990	0.3580444	0.6678718	0.0800246	0.7340399	0.2278266	0.8055980	0.4718679	0.1415417	0.8050899	0.4416632	0.2343024	0.6936464	0.3983701	0.3687693	0.0126520	0.6919242	0.6886287	0.2762278	0.6351008	0.4293594	0.0731148	0.4475550	0.5192943	0.6797844	0.8404033	0.0608757	0.0025222	0.0648159	0.5106625	0.6714874	0.1214094	0.7476825	0.5533174	0.5718123	0.6955041	0.5988847	0.4611356	0.7075793	0.7521013
0.7493436	0.3915776	0.3494765	0.6609587	0.4358606	0.3943914	0.2221119	0.6240045	0.6087862	0.4974404	0.6257006	0.4051069	0.4529099	0.0691928	0.6171955	0.7654269	0.2561454	0.6616100	0.3106874	0.2978568	0.0000000	0.1309000	0.1314160	0.0302198	0.0591202	0.4247142	0.2032445	0.2994270	0.6618643	0.7267097	0.3793005	0.1518050	0.8170901	0.8249008	0.4494468	0.1886980	0.6010498	0.0939629	0.7655575	0.6924680	0.2795948	0.1000970	0.7204898	0.0447422	0.0000000	0.7065788	0.5720835	0.7756680	0.6616086	0.5788535	0.7535540	0.7213794	0.1741830	0.6292694	0.4768357	0.1395302	0.7981958	0.6658978	0.4253337	0.2440422	0.1633814	0.6603964	0.6356729	0.2760786	0.6818112	0.2302706	0.8242472	0.3330578	0.1373440	0.8038550	0.3084685	0.0229165	0.1281582	0.1046126	0.0760023	0.0299927	0.7699315	0.7758105	0.1943543	0.6707141	0.3882146	0.0835101	0.4890224	0.6325392	0.6526074	0.7282058	0.0386497	0.0029795	0.0589020	0.6704939	0.7219394	0.1242893	0.7702586	0.5137564	0.7434971	0.7441551	0.4890465	0.3097286	0.6500514	0.6556767
0.0058467	0.0078422	0.0189330	0.0874555	0.0151149	0.0182815	0.0120448	0.0085964	0.1119551	0.0026654	0.0389331	0.0959300	0.3182883	0.3524775	0.3925318	0.8037622	0.6855729	0.6545081	0.1318093	0.0488055	0.0502956	0.2384934	0.1621457	0.0355991	0.0570697	0.6261752	0.1985651	0.2749060	0.8463997	0.5799297	0.4112652	0.2070589	0.7871768	0.7157762	0.4707522	0.0060619	0.7015922	0.0172517	0.6404413	0.4299921	0.0008881	0.0801655	0.0400360	0.0581470	0.0000000	0.0000000	0.4014565	0.4085368	0.3915358	0.2828860	0.7725935	0.8265908	0.7090814	0.6385513	0.1935746	0.1554490	0.0000909	0.6956423	0.0375183	0.3591152	0.4056446	0.6458527	0.6788890	0.4105989	0.7052632	0.0520957	0.1744360	0.0724655	0.0014118	0.3535912	0.6169390	0.2488038	0.7036905	0.1664801	0.3307425	0.0221149	0.3361895	0.7683405	0.4162206	0.5638636	0.6360258	0.1389541	0.0029786	0.8287929	0.0295487	0.6474078	0.7240620	0.5798706	0.6903847	0.7022657	0.7139701	0.1026506	0.0417717	0.0035715	0.0158572	0.0005264	0.0524324	0.0584482	0.0342984	0.0716130
0.0069382	0.0119898	0.0111561	0.0734948	0.0603286	0.0156482	0.0125205	0.0053474	0.1058856	0.0121072	0.0903370	0.0449443	0.3481964	0.2772550	0.3405759	0.6494219	0.6777478	0.7267084	0.0647175	0.0554749	0.0454584	0.1512551	0.0760826	0.0412869	0.0404496	0.4722289	0.1933343	0.2568273	0.7057876	0.6890456	0.4177843	0.1465745	0.7399822	0.7356181	0.4412327	0.0002224	0.7346924	0.0190999	0.6191407	0.4927249	0.0102757	0.1081183	0.0201309	0.0262329	0.0454214	0.0000000	0.3675986	0.3824990	0.4111311	0.3841119	0.7359587	0.6526197	0.7454360	0.5255134	0.1746040	0.2131610	0.0035522	0.6728530	0.0131817	0.3227202	0.4820751	0.7384523	0.7092379	0.4586157	0.8156000	0.0635771	0.1857113	0.0593570	0.0043748	0.2797546	0.5822587	0.2272970	0.8076876	0.1312656	0.2200276	0.0293341	0.3477923	0.7342659	0.4254673	0.7909029	0.7635191	0.3520856	0.0000000	0.6764467	0.0169738	0.7412101	0.6861669	0.6378385	0.8384643	0.8239981	0.7654203	0.0935187	0.0513734	0.0083985	0.0147002	0.0094664	0.0508543	0.0580889	0.0824932	0.0647650
0.0148442	0.0041832	0.0134039	0.1006000	0.0456459	0.0038770	0.0124066	0.0027984	0.1422983	0.0118321	0.0350251	0.0800541	0.3668624	0.3755941	0.3516768	0.6436451	0.6871595	0.8062227	0.0530703	0.0145946	0.0538310	0.1977046	0.1233908	0.0831068	0.0858286	0.6010140	0.2173097	0.3191711	0.6294962	0.6866800	0.5091176	0.2012425	0.7100930	0.8430225	0.4564732	0.0003274	0.7062737	0.0164207	0.6409850	0.4145091	0.0002466	0.0884924	0.0076536	0.0486652	0.0481472	0.0000000	0.3690271	0.3453818	0.3715424	0.3450043	0.7335766	0.7154998	0.7469922	0.5837955	0.1777427	0.2750929	0.0005825	0.8941579	0.0148337	0.4058336	0.4400677	0.8493261	0.6733240	0.4317457	0.6889038	0.0379340	0.2517794	0.1170817	0.0001606	0.3276157	0.5190571	0.2789813	0.8049477	0.1121714	0.2992285	0.0203044	0.2563958	0.6567181	0.4827907	0.7398306	0.7357240	0.2442230	0.0213337	0.5805411	0.0000000	0.6901666	0.8233171	0.6792432	0.6780788	0.7025028	0.7226653	0.1675751	0.0814232	0.0020237	0.0148450	0.0040050	0.1123546	0.0432473	0.0944219	0.1031215
